catalogueId,artist,title,statement,portfolioUrl,image_filename,notes
CV-SG-017,Nguyen Bao Tran,"Come to the Other Side, No. 9",,https://traan.cargo.site/,,DONE - portfolioUrl fixed in repo 2026-08-03
CV-HN-004..005,Ca Thi Cuc,Life in the Highlands,(see artistStatement in the 2 published entries),,life-in-the-highlands-7 / -21,DONE - published 2026-08-03
CV-HN-006..010,Mai Tran Ha Vy,Hanoi in Red,(see artistStatement in the 5 published entries),,hanoi-in-red-8 / -13 / -18 / -27 / -28,DONE - published 2026-08-03
CV-HN-011..014,Nguyen Minh Chau,Sense of Family Continuity,(see artistStatement in the 4 published entries),,sense-of-family-continuity-4 / -6 / -8 / -12,"DONE - published 2026-08-03. Working title drawn from her own reflection text, not an official project name - please confirm/replace if she has one"
CV-HN-015..018,Nguyen Minh Hanh,The Crimson Prayer,(see artistStatement in the 4 published entries),,the-crimson-prayer-15 / -29 / -30 / -31,DONE - published 2026-08-03
CV-HN-019,Pham Hanh Nguyen,Unseen Effort,(see artistStatement),,unseen-effort-18,"DONE - published 2026-08-03. Working title, not an official project name - please confirm/replace if she has one"
CV-HN-020..022,Tran Huong Giang,Ao Dai at Van Long Lagoon,(see artistStatement in the 3 published entries),,ao-dai-at-van-long-lagoon-2 / -10 / -12,DONE - published 2026-08-03
CV-HN-023..024,Ngo Bao Chau,Above and Below,(see artistStatement in the 2 published entries - drawn from her original folio PDF's ABOUT MY PROJECT and ENVIRONMENT sections),,above-and-below-1 / -3,"DONE - published 2026-08-03, from the b/w diptych set Bin supplied separately (student ID on that folder was s4035581, one digit off from s4035381 on her original folio - same person, flagging the mismatch)"
,hoang-lam-nhi / nguyen-minh-thu / do-thao-duyen / ngo-thi-phuong-mai,,,,,"Hanoi - Bin said not choosing these 4 for now, contact sheets still waiting in extracted/"
,Vuong Quang Minh (S4060453),,,,,"Hanoi - source PDF was only a consent cover sheet, no actual folio. Still need the real work from Bin."
,Le Gia Bao,Sidewalk Society,"""Sidewalk Society"" explores how Hanoi's sidewalks become shared living spaces, not only for movement but for eating, gathering, working, and connecting. Since my childhood home is in Hanoi's Old Quarter, I've always felt deeply connected to this way of life. Through scenes of food stalls, plastic stools, and small conversations, the project captures the communal spirit that shapes everyday life in Hanoi.",,,"Hanoi - joins batch already in progress, CV-HN-004 onward. Contact sheet: extracted/hanoi_le-gia-bao_CONTACTSHEET.jpg"
,Do Le Gia An,Childhood Reclaim,"Living in Saigon, where I get to meet with many city kids, I realized just how few actually got a childhood like mine, tied to the playground and naughty neighbour kids. Time took that away: houses were built, children grew up, and I lost contact with everyone I was close to. Just like the name of the project, I want to reclaim what I once had, and go on a hunt for my childhood amidst the cityscape.",,,"Saigon - backfills a previously link-only reroot artist, new catalogueId (CV-SG-018 onward). Contact sheet: extracted/saigon_do-le-gia-an_CONTACTSHEET.jpg"
,Mir Tran (Khiet Nghi Tran),The Liminal Self,"The Liminal Self is a portrait of a self in suspension, ""lung lung"" (neither here nor there), trying to remember what they are made of: body, memory, nostalgia, yearning, love, and place. In liminal space identity doesn't disappear all at once; it fades, becomes dim, becomes unknown. The self turns into a shadow that still moves, still feels, still searches for something solid to belong to.",,,"Saigon - backfills a previously link-only reroot artist, new catalogueId. Contact sheet: extracted/saigon_mir-tran_CONTACTSHEET.jpg"
